Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
11:43:13  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:15  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:16  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:17  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:19  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_TRD123          |Pickup              |null                
11:43:20  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_TRD123          |Pickup              |null                
11:43:22  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_TRD123          |Pickup              |null                
11:43:23  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_TRD123          |Pickup              |null                
11:43:25  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:26  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:27  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:28  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:29  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD123          |null                |null                
11:43:30  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_TRD123          |null                |Turning             
11:43:32  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_TRD123          |null                |Turning             
11:43:33  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD123          |null                |Turning             
11:43:35  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD123          |null                |Turning             
11:43:36  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD123          |null                |Turning             
11:43:37  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD123          |null                |Turning             
11:43:39  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD123          |null                |Threading           
